Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
399329,1164,4003,21.09347439,0.74510402,0.840195107,0.746260008,0.111376245,0.766640724,-0.945530095,0.867698104,-0.491255896,0.795169793,-8.068614424,0.866244769,880740,NA
2003090,1163,4004,11.52799961,0.854740311,-0.095010844,0.867280808,0.442232016,0.82242872,-0.753728696,0.858562753,0.841605164,0.87408066,-11.77265737,0.85203169,850101,886937
3181599,1163,4005,1.38399776,0.772416986,0.994227947,0.820695437,0.191666072,0.777703028,27.42816751,0.835265826,0.267573547,0.725963498,-11.49145962,0.792313069,2004037,2004042
313609,1162,4006,13.17737157,0.867670444,1.426268523,0.886557951,0.687854448,0.856273321,-4.236594766,0.941782353,-0.102174269,0.912141985,-4.432440161,0.89417392,2004022,2003101
3190174,1162,4007,13.45823335,0.730471081,0.782690138,0.808347079,1.007434106,0.773741559,-3.476636918,0.804261773,0.342480697,0.797465987,-6.094802524,0.805217362,2003198,2003202
3190292,1162,4008,15.80328484,0.737494407,1.316711596,0.810480722,0.443503801,0.777184663,-3.879634817,0.80738219,-0.283709614,0.800299319,-2.317586885,0.809545552,2003305,2003287
314158,1161,4009,9.127176056,0.783029374,0.828065764,0.790886212,0.304637661,0.716778208,5.305124356,0.841504011,0.280361967,0.778274373,-4.75248016,0.891242391,2004070,NA
317142,1161,4010,14.40970423,0.786,0.35543635,0.836988052,0.230244336,0.792617184,12.85640696,0.814253646,0.040077813,0.726253399,-7.278352398,0.794477816,2006220,2006240
317348,1161,4011,13.64732949,0.811287865,0.221684743,0.870923648,0.100395135,0.869576909,-2.37848187,0.870449309,0.442142907,0.878105916,-5.262350563,0.705426821,2006153,2006253
306100,1160,4012,25.12014414,0.742719328,0.183247268,0.767207273,1.371355506,0.740183085,-16.48467508,0.791465097,0.233017151,0.774170524,NA,NA,887793,888532
314122,1160,4013,25.51221664,0.838080545,0.974633058,0.849876462,0.406759461,0.82083555,-25.14016156,0.891548653,-0.351452695,0.837427012,-10.73793315,0.881332514,2003047,2004013
3181478,1160,4014,10.50672859,0.771670266,0.80912311,0.819544996,0.199506732,0.778853645,0.795132082,0.833520846,0.255632003,0.721835854,-8.791650813,0.793953399,2004009,2004012
3181842,1160,4015,1.591708852,0.781112028,0.656226366,0.834861066,0.308235326,0.787231224,11.86152532,0.833794939,0.790228582,0.719071624,5.324528721,0.795283597,2004085,2004081
3181874,1160,4016,7.930788245,0.759757198,0.887152885,0.802206333,0.631074237,0.763170361,-4.95560829,0.805270141,0.602312252,0.687854636,-0.996875272,0.714743311,2004081,2004083
3182051,1160,4017,12.97673322,0.785048406,0.203333636,0.834986227,-0.241728473,0.787423647,1.439012226,0.834058751,0.344052683,0.71943867,-4.030236802,0.788489061,2006136,2006139
313539,1159,4018,19.17876883,0.88285616,1.159265057,0.912915111,0.66331264,0.893812061,4.104620081,0.950293639,-0.528235127,0.931731184,-5.217427415,0.910751338,2003369,2004046
317386,1159,4019,15.23972618,0.802251831,0.71305272,0.868464162,0.392112803,0.830693084,18.0297605,0.864917915,-0.306554546,0.831063776,-8.633002597,0.82443799,2006153,2006230
397163,1159,4020,14.10018689,0.808418209,1.096775437,0.826750265,0.734536339,0.790174664,-12.49125408,0.887894138,0.205971754,0.818972527,NA,NA,875076,268005
2006139,1159,4021,8.818175518,0.938597358,0.081575721,0.959273162,0.042483384,0.938037846,-23.21229251,0.949794715,1.256814267,0.933887574,-3.522791104,0.798402781,888835,NA
313538,1158,4022,16.39326263,0.875824754,1.135363489,0.908771148,0.561989359,0.89250042,4.346800561,0.947596433,-0.347872392,0.93276846,-6.142661985,0.893538471,2003369,2004046
313540,1158,4023,32.32425774,0.876636185,1.098009086,0.910153833,0.231908811,0.893701852,-4.619369952,0.943590483,-1.349855599,0.926908841,-9.007412426,0.895495952,2003369,2004046
2004057,1158,4024,6.942062142,0.934082973,0.408184209,0.951760474,0.852499563,0.937076304,24.3305616,0.961423424,0.453715307,0.95670058,-6.273760804,0.940993624,268228,875294
2006218,1158,4025,5.886749207,0.951489884,1.163602534,0.96807696,0.496305717,0.953542867,-1.405336709,0.966492111,0.470537618,0.96129548,-11.39063924,0.870960964,885429,885439
3180062,1158,4026,18.41005096,0.769053314,0.485506092,0.809516522,0.015715536,0.764669863,-6.220035348,0.797596389,-0.008331927,0.699976428,-9.248779896,0.721232279,2006223,2006224
3182414,1158,4027,9.243158365,0.770766502,0.462352719,0.810431984,0.151385667,0.763426486,-4.010210925,0.795491043,0.640930381,0.697360739,-9.33344891,0.710256996,2006204,2006198
313638,1157,4028,21.14128037,0.883362327,0.277571831,0.91260835,0.407299185,0.896183575,0.478398147,0.947269761,-0.107947065,0.930430546,-7.222796243,0.904582224,2003018,2004010
315017,1157,4029,14.76151166,0.762513606,1.157553925,0.778171575,0.944252082,0.832773078,7.254277042,0.803970771,-0.214089941,0.847779452,NA,NA,2003150,2004032
317416,1157,4030,8.805065234,0.769404965,0.285344866,0.818459529,0.38876102,0.781543985,4.343823259,0.843252038,0.675448423,0.792713694,-6.228515788,0.793035308,2006205,2006188
313514,1156,4031,18.10370608,0.872165695,1.36746131,0.902789566,0.739288439,0.883501556,-0.743862529,0.943490858,-0.475043934,0.919696145,2.536006708,0.902231678,2003176,2004032
314484,1156,4032,18.95855581,0.786194632,0.775678185,0.788193504,-0.033559106,0.735629662,-13.58323759,0.870707758,-0.099113596,0.792620969,-5.9775545,0.843735148,2004010,NA
397087,1156,4033,10.00325623,0.766834402,1.650589157,0.818857741,0.980629788,0.797534952,-2.554173747,0.878857213,0.009809257,0.797099116,NA,NA,268494,NA
875203,1156,4034,17.01636419,0.967608909,1.332460444,0.973162885,1.012395003,0.966307922,1.085861211,0.910478995,-0.346626037,0.875478155,0.944713751,0.931082166,268350,NA
3181414,1156,4035,12.29732391,0.779018613,1.842890756,0.823001215,0.386857282,0.78122852,2.538402448,0.837293258,-0.51176118,0.734268343,7.383107467,0.794176303,2003388,2004001
3182197,1156,4036,8.63429521,0.782166862,0.480924003,0.83479758,0.115467711,0.788589247,9.217134967,0.833652805,0.40464542,0.714906987,-1.025848827,0.788315927,2006156,2006158
3190070,1156,4037,13.56752425,0.732299119,0.86178264,0.809433753,0.535876101,0.777250281,-8.028384558,0.807634818,0.254102996,0.799491714,-6.196639742,0.810762604,2003056,2003084
315296,1155,4038,20.22849495,0.7657813,1.051844767,0.798958071,0.565058298,0.871129726,2.063180569,0.807539473,-0.52374051,0.86147838,NA,NA,2004046,2003372
880753,1155,4039,16.46665118,0.945296779,0.108657881,0.94738271,0.906935397,0.947008448,-6.664462564,0.931827774,0.580990402,0.912751335,-3.684143924,0.931986588,268062,NA
3181317,1155,4040,17.40159651,0.790260716,0.38026589,0.835879776,0.737160212,0.798408417,-16.99972443,0.828047704,0.505709881,0.735377454,-7.262391087,0.759300994,2003204,2003219
3190696,1155,4041,17.00915591,0.728007555,1.123533446,0.811107268,0.920412812,0.776029639,3.89114252,0.805862271,-0.29348669,0.796582701,-3.655955556,0.804969565,2006107,2006106
313040,1154,4042,8.711272583,0.816687823,1.124577559,0.855114612,0.255989075,0.808201089,3.758422898,0.917610484,0.133260656,0.884162315,6.598383392,0.8600593,2004074,NA
315581,1154,4043,21.37976414,0.754277137,0.966736604,0.773056919,0.638931892,0.813719854,-12.67574116,0.79980185,-0.249239411,0.843217054,NA,NA,2004033,2003224
3190327,1154,4044,9.892968134,0.717294918,0.563331528,0.771418175,0.687720429,0.736767942,-11.41977796,0.786676554,0.798789683,0.766156642,-4.787898961,0.808511595,2003343,2003335
315214,1153,4045,18.90241317,0.789730967,0.655710001,0.831458357,0.696877599,0.856588583,4.229630134,0.848310085,-0.19598576,0.881971088,NA,NA,2004003,2003025
3181753,1153,4046,15.32982023,0.78405357,0.332955855,0.833490252,0.49927903,0.791385494,-4.747559116,0.835545929,0.384060583,0.719009736,0.856775299,0.810535008,2004068,2004069
2003353,1152,4047,10.84799087,0.79757194,1.870854677,0.801974438,1.043692496,0.759656501,-3.155388934,0.763424521,-0.165625359,0.80946402,NA,NA,268494,288102
3181300,1151,4048,18.08093918,0.782611014,0.863933864,0.827314934,0.798317104,0.784965604,-21.68687459,0.811161513,0.255491179,0.713126216,-4.063070284,0.729506683,2003204,2003218
3190183,1151,4049,14.31584755,0.714177849,0.72022336,0.771194528,0.886460136,0.736833767,-3.832050269,0.786211804,0.284696011,0.765275767,-6.966676197,0.767874339,2003198,2003202
313079,1150,4050,18.35672109,0.867698104,0.919765371,0.895538386,0.075009049,0.875451883,-2.250656873,0.941531731,-0.348912141,0.922709597,-4.474741186,0.870661243,2003371,2004018
317898,1150,4051,6.233911826,0.793088898,0.573690544,0.853249084,0.477492302,0.812873914,11.00302302,0.835749364,0.560138542,0.727919638,-4.829105734,0.794128453,2006101,2006244
2003355,1150,4052,3.546613342,0.968986068,1.172856874,0.97272658,0.911259315,0.963437595,13.53903121,0.980224464,0.42751766,0.976054302,-0.638978221,0.91058937,268556,288103
3181344,1150,4053,17.77407855,0.782663401,1.011673126,0.835565677,0.822650139,0.790608626,-16.23704144,0.836014354,0.084010193,0.725826426,4.993888675,0.793426115,2003248,2003249
314209,1149,4054,28.40161581,0.822040753,0.743294999,0.825504694,0.20609336,0.802938977,-14.71319966,0.871468301,-0.673533741,0.823904728,-5.071078079,0.863529965,2004002,2003018
314568,1149,4055,10.28488015,0.83447109,1.191663772,0.837591786,0.837835873,0.802032418,7.02368751,0.887843455,0.048818682,0.844847915,1.286167731,0.882099768,2003176,2004032
885135,1149,4056,17.29732997,0.920678554,0.014405773,0.944130817,0.128773999,0.92113734,7.575486574,0.891476865,0.113350927,0.880373216,-4.693636036,0.711686729,NA,NA
3191299,1149,4057,-1.675400287,0.721987535,0.32971398,0.774151148,0.433371879,0.739436948,9.182425148,0.787288384,1.292541014,0.767953124,-2.609214958,0.769118976,2006212,2006214
313063,1148,4058,12.26261918,0.863184221,0.947875269,0.875199977,0.610125129,0.859847661,2.501313964,0.924552865,0.095184106,0.879145608,-5.001585524,0.910273585,2003150,2004032
314130,1148,4059,-3.933654906,0.831871985,1.287387591,0.831871384,0.788962927,0.792461986,10.46820908,0.881702898,0.910705189,0.833840512,-10.31178193,0.878218082,2003161,2004028
