Tree,Fcln,Mcln
268429,.,.
268431,.,.
268432,.,.
268433,.,.
268434,.,.
268435,.,.
268437,.,.
268438,.,.
268439,.,.
268440,.,.
268441,.,.
268442,.,.
268443,.,.
268444,.,.
268445,.,.
268446,.,.
268447,.,.
268448,.,.
268450,.,.
268451,.,.
268452,.,.
268454,.,.
268455,.,.
268457,.,.
268458,.,.
268459,.,.
268460,.,.
268461,.,.
268462,.,.
268463,.,.
268464,.,.
268465,.,.
268467,.,.
268468,.,.
268469,.,.
268471,.,.
268472,.,.
268473,.,.
268474,.,.
268475,.,.
268476,.,.
268477,.,.
268478,.,.
268479,.,.
268480,.,.
268481,.,.
268484,.,.
268485,.,.
268486,.,.
268487,.,.
268488,.,.
268489,.,.
268490,.,.
268491,.,.
268492,.,.
268493,.,.
268494,.,.
268495,.,.
268496,.,.
268497,.,.
268498,.,.
268499,.,.
268500,.,.
268502,.,.
268503,.,.
268504,.,.
268505,.,.
268506,.,.
268507,.,.
268508,.,.
268509,.,.
268510,.,.
268512,.,.
268513,.,.
268514,.,.
268515,.,.
268517,.,.
268518,.,.
268519,.,.
268520,.,.
268521,.,.
268522,.,.
268523,.,.
268524,.,.
268525,.,.
268527,.,.
268528,.,.
268529,.,.
268530,.,.
268531,.,.
268533,.,.
268534,.,.
268535,.,.
268536,.,.
268537,.,.
268538,.,.
268539,.,.
268540,.,.
268541,.,.
268542,.,.
268543,.,.
268544,.,.
268545,.,.
268546,.,.
268547,.,.
268548,.,.
268550,.,.
268551,.,.
268552,.,.
268553,.,.
268554,.,.
268556,.,.
268557,.,.
268558,.,.
268559,.,.
268560,.,.
268561,.,.
268562,.,.
268563,.,.
268564,.,.
268565,.,.
268566,.,.
268567,.,.
268568,.,.
268569,.,.
268570,.,.
268571,.,.
268572,.,.
268573,.,.
268574,.,.
268575,.,.
268576,.,.
268577,.,.
268578,.,.
268579,.,.
268580,.,.
268581,.,.
268582,.,.
268583,.,.
268584,.,.
268585,.,.
268586,.,.
268587,.,.
268588,.,.
268589,.,.
268590,.,.
268591,.,.
268592,.,.
268593,.,.
268594,.,.
268601,.,.
268602,.,.
268603,.,.
268604,.,.
268605,.,.
268606,.,.
268607,.,.
268608,.,.
268609,.,.
268619,850037,850019
850016,.,.
850104,.,.
268632,850016,850104
268008,.,.
268053,.,.
268065,.,.
268109,.,.
268125,.,.
268151,.,.
268172,.,.
268180,.,.
268313,.,.
268321,.,.
268328,.,.
268334,.,.
268357,.,.
268516,.,.
268526,.,.
268532,.,.
268549,.,.
850032,.,.
268624,850032,850055
875276,268109,.
875242,268107,268093
288407,875276,875242
2003009,268065,288407
850395,.,.
2003016,850395,188205
875289,268345,.
875062,268169,.
875240,268262,.
288106,875062,875240
2003017,875289,288106
850530,.,.
668007,.,.
2003018,850530,668007
875054,268107,.
288304,875054,875242
2003021,268528,288304
850101,.,.
850224,.,.
2003025,850101,850224
850232,.,.
2003029,268137,850232
850533,.,.
2003030,850533,188302
875072,268090,.
875225,268093,.
288302,875072,875225
2003031,268054,288302
875075,268426,.
875203,268350,.
288408,875075,875203
2003032,875054,288408
850234,.,.
2003033,850533,850234
880606,268061,.
875293,268350,.
2003034,880606,875293
2003047,850533,188301
850473,.,.
2003052,850091,850473
2003053,268545,188113
2003055,850530,668007
875262,268118,.
288404,875203,875262
2003056,268054,288404
875077,268054,.
288305,.,875077
2003059,268539,288305
2003067,268137,850232
2003072,188106,188101
850536,.,.
886926,.,.
2003080,850536,886926
2003083,850101,188201
875078,268143,.
875250,268609,.
288103,875078,875250
2003084,268556,288103
886937,.,.
2003090,850101,886937
875258,268123,.
875067,.,.
288102,875258,875067
2003092,268556,288102
880729,268323,268280
875213,268089,.
288201,268327,875213
2003093,880729,288201
2003095,880606,875293
2003098,268054,875054
288401,875203,875262
2003101,268547,288401
2003118,850101,886937
886943,.,.
2003123,850533,886943
880656,268070,.
886928,.,.
2003125,880656,886928
880739,268294,.
2003128,880739,850530
288405,875203,875262
2003135,268323,288405
2003146,.,886928
2003148,268341,288401
2003150,850533,886943
886936,.,.
2003153,268531,886936
288013,268609,875077
2003155,268323,288013
850227,.,.
2003156,268137,850227
2003157,875054,288302
850401,.,.
688037,.,.
2003159,850401,688037
2003160,268405,268323
2003161,268054,875054
886954,.,.
2003163,850533,886954
880655,.,.
2003164,880655,850101
2003166,268622,188101
2003170,268531,886936
2003171,850533,886954
2003175,850530,188201
2003176,850533,188301
2003178,188201,850101
2003179,850032,188304
2003181,875242,288401
288107,875062,875240
2003186,875289,288107
875076,268173,268402
2003187,875076,288107
2003188,850401,688037
2003192,875054,288302
2003193,850055,188106
2003195,850533,850234
880753,268062,.
2003196,880656,880753
2003197,188201,850530
2003198,268065,288407
2003202,268405,268315
2003204,850032,188304
2003205,268054,288302
2003208,268528,268059
2003217,268041,188113
871099,850055,850121
2003218,871099,188106
2003219,850055,188106
2003221,880655,850101
2003224,268545,188113
2003227,268137,850227
